id,year,title,doc_id,org,doc_type,doc_family,d1,d2,d3,d4,doc_score,descriptor,limiting_dim,flag_d4_limited,flag_kappa,d4_present,scored_ge3,org_nist,org_swgde,year_band,notes
11,2021,Disk Imaging Tool: DFT v1.0 (Federated Test Report),CFTT-DI-2021-DFT,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
12,2021,Disk Imaging Tool: ATRIO v4.0 (Federated Test Report),CFTT-DI-2021-ATRIO,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
13,2021,Disk Imaging Tool: OSForensics v8.0.1007 (Federated Test Report),CFTT-DI-2021-OSF,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
14,2020,Disk Imaging Tool: Logicube Falcon-NEO v3.2 (Federated Test Report),CFTT-DI-2020-FN,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,1,0,0,1,0,2020-2021,Same family. Earliest in corpus (2020). D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
15,2024,Hardware Write Block: Apricorn Aegis NVX v0203.7846 (Federated Test Report),CFTT-HWB-2024,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2024-2025,"HWB family. D2=4: write-block assertions pass/fail with anomaly logging; no FP/FN thresholds. D3=5: mandatory environment, hash, CFTT-reviewed. D4=1: AI absent. Limiting: D4. FLAG: D4-limited."
16,2023,Hardware Write Block: Tableau Forensic Universal Bridge (Federated Test Report),CFTT-HWB-2023-TAB,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2022-2023,Same family as #15. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
17,2022,Hardware Write Block: WiebeTech Forensic ComboDock v6 (Federated Test Report),CFTT-HWB-2022-WBT,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2022-2023,Same family. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
18,2022,Hardware Write Block: WiebeTech NVMe WriteBlocker (Federated Test Report),CFTT-HWB-2022-NVM,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,1,0,0,1,0,2022-2023,Same family. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
19,2020,Hardware Write Block: CRU USB 3.0 WriteBlocker (Federated Test Report),CFTT-HWB-2020-CRU,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2020-2021,Same family. Earliest HWB in corpus. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
20,2024,Forensic Media Preparation: EcoErase v6.2.0 (Federated Test Report),CFTT-MP-2024-EE,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2024-2025,"Media prep family. Pass/fail assertions, mandatory hash verification, CFTT submission. D4=1: AI absent. Limiting: D4. FLAG: D4-limited."
21,2023,Forensic Media Preparation: Mac Test and Erasure v10.40 (Federated Test Report),CFTT-MP-2023-MT,NIST,Test Report,CFTT Test Report,3,4,5,1,1,Very Low Confidence,D4,1,0,0,0,1,0,2022-2023,Same family as #20. D4=1: AI absent. Limiting: D4. FLAG: D4-limited.
22,2022,Digital Investigation Techniques: A NIST Scientific Foundation Review (Draft),NIST IR 8354-draft,NIST,Scientific Review,NIST Other,3,4,3,2,2,Low Confidence,D4,0,1,1,0,1,0,2022-2023,D1=3: scientific validity discussed; uncertainty acknowledged; no formal protocol. D2=4: explicitly reviews error rates in forensic science; no quantitative thresholds specified. D3=3: reproducibility recommended; no mandated spec. D4=2: AI mentioned as emerging area; no AI-specific criteria. Limiting: D4=2 joint limiting. Score=2.
23,2021,"Open Media Forensics Challenge (OpenMFC) 2020-2021: Past, Present, and Future",NIST IR 8396,NIST,Technical Report,NIST Other,3,4,4,4,3,Moderate Confidence,D1,0,0,1,1,1,0,2020-2021,D1=3: challenge evaluation framework; SHOULD-level. D2=4: competition scoring metrics; no acceptable threshold stated. D3=4: challenge protocol documented; independent NIST evaluation. D4=4: AI/ML system validation central focus; 2+ AI challenges. Limiting: D1 → score 3.
24,2025,Guardians of Forensic Evidence: Evaluating Analytic Systems Against AI-Generated Deepfakes,NIST Forensics@NIST 2024,NIST,Conference Paper,NIST Other,3,4,3,5,3,Moderate Confidence,D1/D3,0,0,1,1,1,0,2024-2025,"D1=3: evaluation framework; no formal protocol. D2=4: detection rates discussed; no quantitative threshold. D3=3: methodology described; no mandatory environment spec. D4=5: deepfake detection, adversarial AI, AI system evaluation — all four AI challenges substantively present. Limiting: D1 and D3 → score 3."
25,2022,Guide to Applying the Risk Management Framework to Federal Information Systems (SP 800-37 Rev 2),NIST SP 800-37r2,NIST,Core Standard,NIST SP 800 / CSF,2,2,3,2,2,Low Confidence,D1/D2/D4,0,0,1,0,1,0,2022-2023,D1=2: ATO framework; confidence passing reference. D2=2: risk assessment required; no error rate quantification. D3=3: assessment procedures recommended. D4=2: AI systems in scope; no AI-specific criteria. Limiting: D1 and D2. Score=2.
26,2020,Security and Privacy Controls for Information Systems (SP 800-53 Rev 5),NIST SP 800-53r5,NIST,Core Standard,NIST SP 800 / CSF,2,2,3,2,2,Low Confidence,D1/D2/D4,0,0,1,0,1,0,2020-2021,D1=2: SI-07/SA-11 reference confidence implicitly; no protocol. D2=2: control testing covers accuracy; no error rate quantification. D3=3: SI-07 integrity checking; documentation required. D4=2: Rev 5 expanded to AI/ML; no AI-specific control criteria. Limiting: D1 and D2. Score=2.
27,2022,Assessing Security and Privacy Controls (SP 800-53A Rev 5),NIST SP 800-53Ar5,NIST,Assessment Guide,NIST SP 800 / CSF,2,2,3,2,2,Low Confidence,D1/D2/D4,0,0,1,0,1,0,2022-2023,Assessment companion to SP 800-53 Rev 5. Same profile; no confidence protocol or error rate quantification. D4=2: inherits AI scope; no AI-specific assessment procedures. Limiting: D1 and D2. Score=2.
28,2024,Computer Security Incident Handling Guide (SP 800-61 Rev 3),NIST SP 800-61r3,NIST,Core Standard,NIST SP 800 / CSF,1,1,2,2,1,Very Low Confidence,D1/D2,0,0,1,0,1,0,2024-2025,D1=1: confidence not in scope. D2=1: error rates not addressed. D3=2: documentation recommended. D4=2: Rev 3 references AI-assisted IR; no AI-specific validation criteria. Limiting: D1 and D2 at 1. Score=1.
29,2023,Cybersecurity Log Management Planning Guide (SP 800-92 Rev 1 Draft),NIST SP 800-92r1 ipd,NIST,Draft Standard,NIST SP 800 / CSF,1,1,2,2,1,Very Low Confidence,D1/D2,0,0,1,0,1,0,2022-2023,D1=1: confidence absent from scope. D2=1: error rates not addressed. D3=2: log retention recommended. D4=2: AI/ML log analysis referenced; no AI-specific validation criteria. Limiting: D1 and D2. Score=1.
30,2020,Cybersecurity Framework (CSF) v1.1 (active 2020-2024),NIST CSF 1.1,NIST,Core Standard,NIST SP 800 / CSF,2,1,2,1,1,Very Low Confidence,D2/D4,1,0,0,0,1,0,2020-2021,D1=2: risk measurement referenced; passing reference. D2=1: error rates absent. D3=2: documentation implied. D4=1: AI not addressed in v1.1. Limiting: D2 and D4 both at 1. Score=1. FLAG: D4-limited.
31,2024,Cybersecurity Framework 2.0,NIST CSF 2.0,NIST,Core Standard,NIST SP 800 / CSF,2,1,2,2,1,Very Low Confidence,D2,0,0,1,0,1,0,2024-2025,D1=2: adds GOVERN function; passing reference. D2=1: error rates absent. D3=2: documentation recommended. D4=2: v2.0 references AI risk; no AI-specific criteria. Limiting: D2 at 1. Score=1.
32,2023,Towards a Standard for Identifying and Managing Bias in Artificial Intelligence (NIST SP 1270),NIST SP 1270,NIST,Technical Report,NIST AI/RMF,3,3,3,4,3,Moderate Confidence,D1/D2/D3,0,1,1,1,1,0,2022-2023,"D1=3: bias measurement framework; SHOULD-level. D2=3: bias metrics including error rate disparities; no thresholds. D3=3: reproducibility of bias testing recommended. D4=4: AI bias, fairness, distributional considerations — 2+ AI challenges. Limiting: D1, D2, D3 at 3. Score=3."
33,2022,Towards a Standard for Identifying and Managing Bias in AI (Draft Update),NIST SP 1270 Draft,NIST,Draft,NIST AI/RMF,3,2,3,3,2,Low Confidence,D2,0,0,1,0,1,0,2022-2023,Earlier draft of #32. D2=2: less developed; error rate disparities mentioned without measurement guidance. D4=3: AI validation mentioned; less comprehensive. Limiting: D2 at 2. Score=2.
34,2024,AI 100-2 E2023 (Adversarial ML Taxonomy),NIST AI 100-2,NIST,Technical Report,NIST AI/RMF,3,3,3,5,3,Moderate Confidence,D1/D2/D3,0,0,1,1,1,0,2024-2025,"D1=3: attack characterization framework; SHOULD-level. D2=3: attack success rates discussed; no thresholds. D3=3: reproducibility recommended. D4=5: adversarial robustness, model inversion, evasion, poisoning — all four AI challenges as primary focus. Limiting: D1, D2, D3 at 3. Score=3."
35,2024,Secure Software Development Practices for Generative AI (NIST SP 800-218A),NIST SP 800-218A,NIST,Draft Standard,NIST AI/RMF,3,3,4,4,3,Moderate Confidence,D1/D2,0,0,1,1,1,0,2024-2025,"D1=3: development security; SHOULD-level. D2=3: testing references error detection; no thresholds. D3=4: SHALL document environment; version control required. D4=4: GenAI-specific validation, output integrity — 2+ AI challenges. Limiting: D1 and D2 at 3. Score=3."
36,2025,AI 100-4: Reducing Risks Posed by Synthetic Content,NIST AI 100-4,NIST,Technical Report,NIST AI/RMF,3,3,3,5,3,Moderate Confidence,D1/D2/D3,0,0,1,1,1,0,2024-2025,"D1=3: risk framework; advisory. D2=3: detection performance discussed; no thresholds. D3=3: provenance verification recommended. D4=5: deepfakes, content provenance, adversarial generation, AI resilience — all four AI challenges. Limiting: D1, D2, D3 at 3. Score=3."
37,2025,AI 100-5: A Plan for Global Engagement on AI Standards,NIST AI 100-5,NIST,Technical Report,NIST AI/RMF,2,1,2,3,1,Very Low Confidence,D2,0,0,1,0,1,0,2024-2025,D1=2: standards engagement; passing reference. D2=1: error rates absent — policy scope. D3=2: documentation implied. D4=3: AI validation in standards context; no specific criteria. Limiting: D2 at 1. Score=1.
38,2025,Best Practices for Computer Forensic Acquisitions (v2.1),SWGDE 17-F-002-2.1,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,"D1=2: 'sufficient confidence' in quality framing; no protocol. D2=2: tool limitations acknowledged; no error rate quantification. D3=3: SHOULD document acquisition, tool version, hash values. D4=1: AI not mentioned. Limiting: D4. Score=1. FLAG: D4-limited."
39,2025,Best Practices for Digital Evidence Collection (v2.0),SWGDE 18-F-002-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: data integrity framing; confidence passing reference. D2=2: limitations acknowledged. D3=3: SHOULD document collection steps. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
40,2025,Best Practices for Computer Forensic Examinations (v2.0),SWGDE 18-F-001-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: quality framing; confidence passing reference. D3=3: SHOULD document examination steps. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
41,2025,Recommendations for Historical Cell Site Analysis (v4.0),SWGDE 17-F-001-4.0,SWGDE,Recommendations,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: confidence mentioned generally. D2=2: uncertainty acknowledged; no quantification. D3=3: documentation recommended. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
42,2025,Core Competencies for Mobile Device Forensics (v2.0),SWGDE 12-F-003-2.0,SWGDE,Competency Standard,SWGDE,2,2,2,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,Competency framework. D1=2: accuracy referenced; no confidence protocol. D2=2: tool limitations knowledge required. D3=2: consistency implied. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
43,2025,Best Practices for Mobile Device Evidence Collection & Preservation (v2.0),SWGDE 18-F-003-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,"D1=2: hash verification; general quality. D2=2: dynamic nature of mobile data noted. D3=3: SHOULD document collection, hash, network isolation. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited."
44,2025,Best Practices for Drone Forensics (v1.2),SWGDE 21-F-002-1.2,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: confidence referenced generally. D2=2: tool limitations acknowledged. D3=3: documentation SHOULD be recorded. D4=1: AI absent despite AI-adjacent technology. Limiting: D4. Score=1. FLAG: D4-limited.
45,2025,Considerations for Focused Collection of Digital Evidence (v2.0),SWGDE 14-F-003-2.0,SWGDE,Considerations,SWGDE,1,2,2,1,1,Very Low Confidence,D1/D4,1,0,0,0,0,1,2024-2025,D1=1: confidence measurement absent — legal/procedural minimization scope. D2=2: proportionality considerations; no error rate. D3=2: documentation implied. D4=1: AI absent. Limiting: D1 and D4 at 1. Score=1. FLAG: D4-limited.
46,2025,Best Practices for Handling Damaged Digital Storage Devices (v2.0),SWGDE 14-F-002-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: confidence in recovery referenced generally. D2=2: recovery limitations acknowledged. D3=3: documentation SHOULD be recorded. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
47,2025,Best Practices for Remote Collection of Digital Evidence from an Endpoint (v2.0),SWGDE 22-F-003-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: remote collection integrity referenced. D2=2: limitations acknowledged. D3=3: SHOULD document procedure and hash. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
48,2024,"Best Practices for Digital Evidence Acquisition, Preservation, and Analysis from Cloud Service Providers (v1.1)",SWGDE 23-F-004-1.1,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: data integrity and confidence referenced generally. D2=2: cloud forensics limitations acknowledged. D3=3: documentation SHOULD be recorded. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
49,2024,Tech Notes on Cryptocurrency (v1.1),SWGDE 23-F-006-1.1,SWGDE,Technical Notes,SWGDE,2,2,2,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: blockchain evidence confidence passingly referenced. D2=2: cryptocurrency forensics limitations noted. D3=2: documentation consistency implied. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
50,2024,Core Competencies for Digital Forensics (v2.0),SWGDE 12-F-006-2.0,SWGDE,Competency Standard,SWGDE,2,2,2,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,Same pattern as #42. Competency framework. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
51,2024,Best Practices for Internet of Things Seizure and Analysis (v1.0),SWGDE 23-F-003-1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: IoT evidence quality referenced. D2=2: tool limitations acknowledged. D3=3: documentation SHOULD be recorded. D4=1: AI absent despite IoT-AI intersection. Limiting: D4. Score=1. FLAG: D4-limited.
52,2024,Best Practices for Vehicle Infotainment and Telematics Systems (v3.2),SWGDE 12-F-004-3.2,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: telematics data quality referenced. D2=2: tool limitations noted. D3=3: documentation SHOULD be recorded. D4=1: AI absent despite modern vehicles using AI. Limiting: D4. Score=1. FLAG: D4-limited.
53,2024,Considerations for Required Minimization of Digital Evidence Seizure (v2.1),SWGDE 16-F-002-2.1,SWGDE,Considerations,SWGDE,1,1,2,1,1,Very Low Confidence,D1/D2/D4,1,0,0,0,0,1,2024-2025,"Legal minimization scope. D1=1: absent. D2=1: absent. D3=2: documentation implied. D4=1: AI absent. Limiting: D1, D2, D4 at 1. Score=1. FLAG: D4-limited."
54,2024,Best Practices Apple MacOS Forensic Acquisition (v1.0),SWGDE 23-F-005-1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,Platform-specific. D1=2: acquisition integrity referenced. D2=2: tool limitations acknowledged. D3=3: SHOULD document steps and hash. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
55,2024,Best Practices for Acquiring Online Content (v1.1),SWGDE 21-F-001-1.1,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,D1=2: online content capture quality referenced. D2=2: web capture tool limitations acknowledged. D3=3: SHOULD document collection. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
56,2023,Linux Technical Notes (v2.0),SWGDE 16-F-001-2.0,SWGDE,Technical Notes,SWGDE,1,2,2,1,1,Very Low Confidence,D1/D4,1,0,0,0,0,1,2022-2023,Technical OS notes. D1=1: absent. D2=2: tool limitations noted. D3=2: documentation implied. D4=1: AI absent. Limiting: D1 and D4 at 1. Score=1. FLAG: D4-limited.
57,2023,Best Practices for Computer Forensic Acquisitions (v2.0),SWGDE 17-F-002-2.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Prior version of #38. Same profile. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
58,2022,"Best Practices for On-Scene Identification, Seizure, and Preservation of IoT Devices (v1.0)",SWGDE 22-F-001-1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Same family as #51 (earlier). D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
59,2022,Best Practices for Remote Collection of Digital Evidence from Networked Computing Environment (v1.0),SWGDE 22-F-003-1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Prior version of #47. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
60,2022,Best Practices for Obtaining Google Reverse Location Data for Investigative Purposes (v1.2),SWGDE 22-F-004-1.2,SWGDE,Best Practice,SWGDE,2,2,2,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Specialized domain. D1=2: location data quality referenced. D2=2: geolocation limitations acknowledged. D3=2: documentation implied. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
61,2022,Best Practices for Drone Forensics (v1.0),SWGDE Best Practices Drone v1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Prior version of #44. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
62,2020,Best Practices for Digital Evidence Acquisition from Cloud Service Providers (v1.0),SWGDE Cloud-v1.0,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2020-2021,Prior version of #48. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
63,2020,Best Practices for Mobile Device Evidence Collection & Preservation (v1.2),SWGDE 18-F-003-1.2,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,1,0,0,0,1,2020-2021,Prior version of #43. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
64,2024,Best Practices for Personnel Presenting Digital Evidence in Legal Proceedings (v1.1),SWGDE 23-Q-001-1.1,SWGDE,Best Practice,SWGDE,2,2,2,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,Legal testimony guidance. D1=2: confidence in testimony accuracy referenced. D2=2: digital evidence limitations acknowledged. D3=2: documentation implied. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
65,2022,Introduction to Testimony in Digital and Multimedia Forensics (v1.1),SWGDE 22-Q-001-1.1,SWGDE,Guidance,SWGDE,2,1,2,1,1,Very Low Confidence,D2/D4,1,0,0,0,0,1,2022-2023,Testimony introduction. D1=2: credibility and accuracy referenced. D2=1: error rates not addressed. D3=2: consistency implied. D4=1: AI not mentioned. Limiting: D2 and D4 at 1. Score=1. FLAG: D4-limited.
66,2022,Guidance for DME Labs on Addressing ANABs 2020 Update on Field Sampling (v1.0),SWGDE ANAB-2022,SWGDE,Guidance,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2022-2023,Accreditation/sampling guidance. D1=2: confidence in sampling referenced. D2=2: sampling error considerations. D3=3: documentation SHOULD be recorded. D4=1: AI not addressed. Limiting: D4. Score=1. FLAG: D4-limited.
67,2021,Establishing a Quality Management System for Digital and Multimedia Organization under ISO-IEC 17025 or 17020 (v2.0),SWGDE QMS-ISO-v2.0,SWGDE,Quality Standard,SWGDE,3,2,4,1,1,Very Low Confidence,D4,1,1,0,0,0,1,2020-2021,"Canonical worked example. D1=3: 'uncertainty estimation where applicable' — recommendation, no protocol. D2=2: uncertainty mentioned; no error rate guidance. D3=4: ISO 17025 QMS = strong reproducibility; documentation required; independent auditing. D4=1: AI entirely absent. Limiting: D4 sole AI limiter. Score=1. FLAG: D4-limited."
68,2025,Best Practices for Digital Forensic Video Analysis (v2.0),SWGDE 18-V-001-2.0,SWGDE,Best Practice,SWGDE,2,2,3,2,2,Low Confidence,D1/D2/D4,0,0,1,0,0,1,2024-2025,D1=2: 'sufficient confidence' in SOP framing; no protocol. D2=2: video analysis tool limitations acknowledged. D3=3: SHOULD document to replication standard; comparably trained analyst test named. D4=2: AI/ML video analysis tools referenced; no AI-specific criteria distinguished. Score=2.
69,2025,Technical Overview of Digital Video Files (v1.4),SWGDE 17-V-001-1.4,SWGDE,Technical Overview,SWGDE,1,1,2,1,1,Very Low Confidence,D1/D2/D4,1,0,0,0,0,1,2024-2025,"Technical reference. D1=1: absent. D2=1: absent. D3=2: file format documentation implied. D4=1: AI not addressed. Limiting: D1, D2, D4 at 1. Score=1. FLAG: D4-limited."
70,2025,Video and Audio Redaction Guidelines (v2.3),SWGDE 18-M-001-2.3,SWGDE,Guidelines,SWGDE,2,1,2,1,1,Very Low Confidence,D2/D4,1,0,0,0,0,1,2024-2025,Redaction guidelines. D1=2: accuracy referenced. D2=1: error rates absent. D3=2: documentation implied. D4=1: AI redaction tools not addressed. Limiting: D2 and D4 at 1. Score=1. FLAG: D4-limited.
71,2025,Best Practices for Data Acquisition from Digital Video Recorders (v1.4),SWGDE 17-V-002-1.4,SWGDE,Best Practice,SWGDE,2,2,3,1,1,Very Low Confidence,D4,1,0,0,0,0,1,2024-2025,DVR acquisition. D1=2: acquisition integrity referenced. D2=2: tool limitations acknowledged. D3=3: documentation SHOULD be recorded. D4=1: AI absent. Limiting: D4. Score=1. FLAG: D4-limited.
72,2024,Best Practices for Digital Forensic Video Analysis (v1.1),SWGDE 18-V-001-1.1,SWGDE,Best Practice,SWGDE,2,2,3,2,2,Low Confidence,D1/D2/D4,0,0,1,0,0,1,2024-2025,Prior version of #68. Same profile; D4=2: AI referenced but no AI-specific criteria. Score=2.
